CHANNEL2,AGE,GENDER,PROVINCE,RACE,total_viewers,avg_duration_minutes,total_views_PerChannel,avg_duration,Viewers_Per_Race
ICC Cricket World Cup 2011,0,None,None,None,40,1.75754993496E9,50,1.75754993496E9,50
Supersport Live Events,0,None,None,None,28,1.7575492229375E9,32,1.7575492229375E9,32
Channel O,0,None,None,None,25,1.757549632E9,27,1.757549632E9,27
SuperSport Blitz,0,None,None,None,25,1.7575490655E9,28,1.7575490655E9,28
Cartoon Network,0,None,None,None,19,1.7575491071052632E9,19,1.7575491071052632E9,19
Trace TV,0,None,None,None,16,1.7575489844117646E9,17,1.7575489844117646E9,17
E! Entertainment,0,None,None,None,15,1.7575490018666666E9,15,1.7575490018666666E9,15
ICC Cricket World Cup 2011,32,male,Gauteng,indian_asian,15,1.7575505622857144E9,28,1.7575505622857144E9,28
Channel O,34,male,Gauteng,black,13,1.7575500263076923E9,13,1.7575500263076923E9,13
Africa Magic,0,None,None,None,12,1.75754904575E9,12,1.75754904575E9,12
Supersport Live Events,27,male,Gauteng,black,12,1.7575492916666667E9,18,1.7575492916666667E9,18
Boomerang,0,None,None,None,12,1.7575493161333334E9,15,1.7575493161333334E9,15
SawSee,0,None,None,None,12,1.7575488773333333E9,12,1.7575488773333333E9,12
Channel O,25,male,Gauteng,black,12,1.7575493366E9,15,1.7575493366E9,15
Trace TV,30,male,Gauteng,black,10,1.757549332E9,12,1.757549332E9,12
Cartoon Network,25,male,Gauteng,black,10,1.7575489704615386E9,13,1.7575489704615386E9,13
Trace TV,26,male,Western Cape,coloured,10,1.7575491825E9,12,1.7575491825E9,12
CNN,0,None,None,None,10,1.7575491913E9,10,1.7575491913E9,10
Supersport Live Events,34,male,Western Cape,coloured,10,1.757549334E9,13,1.757549334E9,13
Supersport Live Events,32,male,Western Cape,coloured,10,1.757549115857143E9,14,1.757549115857143E9,14
ICC Cricket World Cup 2011,25,male,Gauteng,indian_asian,10,1.7575493796666667E9,18,1.7575493796666667E9,18
ICC Cricket World Cup 2011,31,male,Gauteng,indian_asian,9,1.7575496110769231E9,13,1.7575496110769231E9,13
Channel O,27,male,Gauteng,black,9,1.7575499912608695E9,23,1.7575499912608695E9,23
Channel O,32,male,Gauteng,black,9,1.7575496274E9,15,1.7575496274E9,15
SuperSport Blitz,27,male,Gauteng,black,9,1.7575497384444444E9,9,1.7575497384444444E9,9
Supersport Live Events,31,male,Gauteng,black,9,1.7575499986666667E9,12,1.7575499986666667E9,12
ICC Cricket World Cup 2011,36,male,Gauteng,indian_asian,9,1.7575497856470587E9,17,1.7575497856470587E9,17
Africa Magic,32,male,Gauteng,black,9,1.757549067857143E9,14,1.757549067857143E9,14
Trace TV,29,male,Gauteng,black,9,1.7575490604E9,10,1.7575490604E9,10
Trace TV,28,male,Gauteng,black,9,1.7575505833636363E9,11,1.7575505833636363E9,11
ICC Cricket World Cup 2011,30,male,Gauteng,indian_asian,9,1.757550797E9,14,1.757550797E9,14
ICC Cricket World Cup 2011,34,male,Gauteng,indian_asian,9,1.7575513994545455E9,11,1.7575513994545455E9,11
Supersport Live Events,30,male,Western Cape,coloured,9,1.7575489231764705E9,17,1.7575489231764705E9,17
Trace TV,37,male,Gauteng,black,9,1.757549080090909E9,11,1.757549080090909E9,11
Trace TV,28,male,Western Cape,coloured,9,1.757549506909091E9,11,1.757549506909091E9,11
Channel O,24,male,Mpumalanga,black,9,1.7575491821666667E9,18,1.7575491821666667E9,18
ICC Cricket World Cup 2011,29,male,Gauteng,indian_asian,9,1.7575496296363637E9,11,1.7575496296363637E9,11
Africa Magic,34,male,Gauteng,black,9,1.75754893075E9,12,1.75754893075E9,12
Supersport Live Events,25,male,Gauteng,black,9,1.7575494945454545E9,11,1.7575494945454545E9,11
Supersport Live Events,40,male,Gauteng,black,8,1.7575492385454545E9,22,1.7575492385454545E9,22
ICC Cricket World Cup 2011,44,male,Western Cape,coloured,8,1.7575496175555556E9,9,1.7575496175555556E9,9
ICC Cricket World Cup 2011,27,male,Limpopo,indian_asian,8,1.7575497414285715E9,14,1.7575497414285715E9,14
Supersport Live Events,36,male,Western Cape,coloured,8,1.7575497535384614E9,13,1.7575497535384614E9,13
Supersport Live Events,33,male,Gauteng,black,8,1.7575490548888888E9,9,1.7575490548888888E9,9
Trace TV,25,male,Gauteng,black,8,1.7575497279230769E9,13,1.7575497279230769E9,13
Supersport Live Events,32,male,Gauteng,black,8,1.7575490318823528E9,17,1.7575490318823528E9,17
Channel O,36,male,Gauteng,black,8,1.7575492726666667E9,9,1.7575492726666667E9,9
Channel O,35,male,Gauteng,black,8,1.757549122E9,9,1.757549122E9,9
ICC Cricket World Cup 2011,35,male,Western Cape,coloured,8,1.7575494078333333E9,12,1.7575494078333333E9,12
Cartoon Network,25,male,Western Cape,coloured,8,1.757549003375E9,8,1.757549003375E9,8
ICC Cricket World Cup 2011,31,male,Limpopo,indian_asian,8,1.7575494797777777E9,9,1.7575494797777777E9,9
Channel O,29,male,Gauteng,black,8,1.7575496566666667E9,9,1.7575496566666667E9,9
Africa Magic,26,male,Mpumalanga,black,8,1.7575492132E9,10,1.7575492132E9,10
Channel O,26,male,Gauteng,black,8,1.7575504653333333E9,9,1.7575504653333333E9,9
Channel O,30,male,Gauteng,black,8,1.7575502372E9,15,1.7575502372E9,15
ICC Cricket World Cup 2011,38,male,Gauteng,indian_asian,8,1.757550037E9,16,1.757550037E9,16
SuperSport Blitz,32,male,Gauteng,black,8,1.7575490889166667E9,12,1.7575490889166667E9,12
Africa Magic,30,male,Gauteng,black,7,1.7575489900833333E9,12,1.7575489900833333E9,12
Africa Magic,39,male,Gauteng,black,7,1.7575492979333334E9,15,1.7575492979333334E9,15
Cartoon Network,43,male,Western Cape,coloured,7,1.75754921375E9,8,1.75754921375E9,8
ICC Cricket World Cup 2011,24,male,Gauteng,indian_asian,7,1.75755048725E9,8,1.75755048725E9,8
Channel O,37,male,Gauteng,black,7,1.7575499713333333E9,9,1.7575499713333333E9,9
Supersport Live Events,45,male,Gauteng,black,7,1.75754958925E9,8,1.75754958925E9,8
ICC Cricket World Cup 2011,26,male,Gauteng,indian_asian,7,1.7575512772727273E9,11,1.7575512772727273E9,11
DStv Events 1,0,None,None,None,7,1.7575489457142856E9,7,1.7575489457142856E9,7
ICC Cricket World Cup 2011,28,male,Gauteng,indian_asian,7,1.7575513010666666E9,15,1.7575513010666666E9,15
ICC Cricket World Cup 2011,26,male,Limpopo,indian_asian,7,1.7575502121666667E9,12,1.7575502121666667E9,12
ICC Cricket World Cup 2011,39,male,Gauteng,indian_asian,7,1.757550108909091E9,11,1.757550108909091E9,11
ICC Cricket World Cup 2011,33,male,Gauteng,indian_asian,7,1.7575504682857144E9,7,1.7575504682857144E9,7
CNN,34,male,Gauteng,black,7,1.7575494805294118E9,17,1.7575494805294118E9,17
ICC Cricket World Cup 2011,31,male,Gauteng,black,7,1.7575498081818182E9,11,1.7575498081818182E9,11
Trace TV,22,male,Gauteng,black,7,1.757549583375E9,8,1.757549583375E9,8
Channel O,31,male,Gauteng,black,7,1.7575496110714285E9,14,1.7575496110714285E9,14
ICC Cricket World Cup 2011,27,male,Gauteng,indian_asian,7,1.7575492450666666E9,15,1.7575492450666666E9,15
SuperSport Blitz,32,male,Western Cape,coloured,7,1.757549358142857E9,7,1.757549358142857E9,7
Supersport Live Events,43,male,Western Cape,coloured,7,1.7575511034545455E9,11,1.7575511034545455E9,11
Trace TV,33,male,Gauteng,black,7,1.757549075625E9,8,1.757549075625E9,8
Trace TV,27,male,Mpumalanga,black,7,1.7575496531538463E9,13,1.7575496531538463E9,13
ICC Cricket World Cup 2011,29,male,Limpopo,indian_asian,7,1.7575497465E9,12,1.7575497465E9,12
ICC Cricket World Cup 2011,36,male,Western Cape,coloured,7,1.7575492384E9,15,1.7575492384E9,15
Channel O,28,male,Gauteng,black,7,1.7575490592857144E9,14,1.7575490592857144E9,14
Supersport Live Events,23,male,Gauteng,black,7,1.7575488342857144E9,7,1.7575488342857144E9,7
Supersport Live Events,30,male,Gauteng,indian_asian,7,1.757549786E9,7,1.757549786E9,7
Cartoon Network,26,male,Western Cape,coloured,7,1.7575488528888888E9,9,1.7575488528888888E9,9
Supersport Live Events,41,male,Gauteng,black,7,1.7575488445714285E9,7,1.7575488445714285E9,7
Channel O,22,male,Gauteng,black,7,1.7575501196666667E9,9,1.7575501196666667E9,9
ICC Cricket World Cup 2011,33,male,Gauteng,white,6,1.757549961E9,6,1.757549961E9,6
SuperSport Blitz,42,male,Gauteng,black,6,1.7575490805E9,8,1.7575490805E9,8
ICC Cricket World Cup 2011,30,male,Gauteng,white,6,1.7575505253333333E9,9,1.7575505253333333E9,9
Trace TV,33,male,Kwazulu Natal,black,6,1.757549079857143E9,7,1.757549079857143E9,7
E! Entertainment,22,male,Gauteng,black,6,1.757548942E9,7,1.757548942E9,7
Supersport Live Events,33,male,Western Cape,coloured,6,1.7575499001666667E9,12,1.7575499001666667E9,12
ICC Cricket World Cup 2011,24,male,Limpopo,indian_asian,6,1.7575496522222223E9,9,1.7575496522222223E9,9
ICC Cricket World Cup 2011,22,male,Gauteng,indian_asian,6,1.757549561E9,16,1.757549561E9,16
Africa Magic,33,male,Gauteng,black,6,1.757549082E9,9,1.757549082E9,9
Trace TV,31,male,Gauteng,black,6,1.7575489758E9,10,1.7575489758E9,10
